y,x,t,y_image,x_image,retrieval_local_zenith_angle,quantitative_local_zenith_angle,retrieval_solar_zenith_angle,day_solar_zenith_angle,night_solar_zenith_angle,sst_c,time
0.137872,0.009968007,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,12.525213,2020-07-28T00:30:05.934142976
0.137872,0.012208007,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,14.039185,2020-07-28T00:30:05.934142976
0.137872,0.0133280065,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,15.0685425,2020-07-28T00:30:05.934142976
0.137872,0.021168008,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,3.095642,2020-07-28T00:30:05.934142976
0.136752,-0.023631994,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,8.31926,2020-07-28T00:30:05.934142976
0.136752,-0.022511993,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,8.981301,2020-07-28T00:30:05.934142976
0.136752,-0.021391992,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,8.083313,2020-07-28T00:30:05.934142976
0.136752,-0.020271992,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,7.9731674,2020-07-28T00:30:05.934142976
0.136752,-0.018031994,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,6.2902527,2020-07-28T00:30:05.934142976
0.136752,-0.016911993,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,5.9129677,2020-07-28T00:30:05.934142976
0.136752,-0.013551992,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,7.4773927,2020-07-28T00:30:05.934142976
0.136752,-0.012431992,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,7.7131195,2020-07-28T00:30:05.934142976
0.136752,-0.011311993,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,8.90515,2020-07-28T00:30:05.934142976
0.136752,-0.010191994,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,9.906523,2020-07-28T00:30:05.934142976
0.136752,-0.009071993,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,9.229938,2020-07-28T00:30:05.934142976
0.136752,-0.007951993,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,8.541107,2020-07-28T00:30:05.934142976
0.136752,-0.0068319933,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,8.048607,2020-07-28T00:30:05.934142976
0.136752,-0.0057119927,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,7.374559,2020-07-28T00:30:05.934142976
0.136752,-0.004591993,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,7.989351,2020-07-28T00:30:05.934142976
0.136752,-0.003471993,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,9.3728,2020-07-28T00:30:05.934142976
0.136752,-0.0023519925,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,12.449786,2020-07-28T00:30:05.934142976
0.136752,-0.0012319923,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,18.224945,2020-07-28T00:30:05.934142976
0.136752,-0.00011199266,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,15.68546,2020-07-28T00:30:05.934142976
0.136752,0.001008007,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,17.273285,2020-07-28T00:30:05.934142976
0.136752,0.0021280074,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,17.131353,2020-07-28T00:30:05.934142976
0.136752,0.0032480075,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,18.16513,2020-07-28T00:30:05.934142976
0.136752,0.0054880073,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,18.107758,2020-07-28T00:30:05.934142976
0.136752,0.0077280076,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,16.217926,2020-07-28T00:30:05.934142976
0.136752,0.008848007,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,16.003082,2020-07-28T00:30:05.934142976
0.136752,0.009968007,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,14.930586,2020-07-28T00:30:05.934142976
0.136752,0.011088007,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,15.891164,2020-07-28T00:30:05.934142976
0.136752,0.012208007,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,14.664087,2020-07-28T00:30:05.934142976
0.136752,0.0133280065,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,13.73822,2020-07-28T00:30:05.934142976
0.136752,0.021168008,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,5.6041565,2020-07-28T00:30:05.934142976
0.13563198,-0.024751993,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,8.5768585,2020-07-28T00:30:05.934142976
0.13563198,-0.020271992,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,9.866028,2020-07-28T00:30:05.934142976
0.13563198,-0.019151995,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,10.619629,2020-07-28T00:30:05.934142976
